Trait_ID_6th,Category,Trait_name,Trait_description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_014,Subsistence,"Terracing [Note, identical to CARNEIRO4_013]",Terracing (including the erection of barriers to reduce soil slippage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_015,Subsistence,"Agricultural land reverted [Note, similar to CARNEIRO4_015]","Agricultural land reverts to kinship group (e.g., lineage, sib), chief or tribe, king or state, as personal property or for reassignment when owner abandons the land or dies without heirs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_016,Subsistence,"Agricultural land reapportioned [Note, similar to CARNEIRO4_016]","Most of the agricultural land systematically reapportioned from time to time by the village, chief, tribe, or state to insure equitable distribution and/or a high degree of cultivation, rather than for services rendered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_017,Subsistence,Measures to promote or maintain agricultural production,"Chief, king, or other official(s) takes measures to promote or maintain agricultural production (e.g., requires land to be worked efficiently and punishes failure to do so)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_018,Subsistence,"Planting and harvesting times determined by specialists [Note, similar to CARNEIRO4_018]",Political or religious officials or other specialists determine the time of planting and harvesting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_019,Subsistence,"State or church provides farmers with equipment [Note, identical to CARNEIRO4_019]",State or church provides farmers with seed or tools for agricultural purposes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_020,Subsistence,State surveying of agricultural land,State surveying of agricultural land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_021,Subsistence,"Regular food surplus accumulation [Note, similar to CARNEIRO4_020]","Surplus of food regularly accumulated over and above the annual subsistence needs of the food producers, and not consumed by them",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_022,Subsistence,Agricultural estates,Agricultural estates which regularly produce a sizable surplus of food for sale to urban centers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_023,Subsistence,Cash crops,Cash crops raised entirely or largely for sale rather than for domestic consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_024,Subsistence,"Government granaries [Note, similar to CARNEIRO4_021]",Granaries erected by the government and food distributed from them by a government official,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_025,Subsistence,"Domesticated animals serve as a source of food [Note, similar to CARNEIRO4_024]",Domesticated animals serve as a source of food (exclude the eating during famines or other unusual occasions of domesticated animals not normally used as food),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_026,Subsistence,"Domesticated animals used for packing [Note, identical to CARNEIRO4_025]",Domesticated animals used for packing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_027,Subsistence,"Domesticated animals used for traction [Note, identical to CARNEIRO4_026]",Domesticated animals used for traction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_028,Subsistence,"Domesticated animals used for riding [Note, identical to CARNEIRO4_027]",Domesticated animals used for riding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_029,Subsistence,Domesticated animals kept for wool or hair,Domesticated animals kept for wool or hair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_030,Subsistence,Selective breeding of domesticated animals,Selective breeding of domesticated animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_031,Subsistence,Specialized herdsmen or dairymen,Specialized herdsmen or dairymen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_032,Subsistence,Fisheries or fish ponds,Fisheries or fish ponds stocked and maintained to provide a regular supply of fish for food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_033,Settlements,"Settlements occupied for more than 10 years [Note, similar to CARNEIRO4_028]","Settlements occupied for more than 10 years, on the average (but not necessarily all year around but at least 40 percent of the year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_034,Settlements,Settlements occupied for at least 50 years,Settlements occupied for at least 50 years (but not necessarily all year around but at least 40 percent of the year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_035,Settlements,Settlements arranged in regular patterns,"Settlement(s) arranged in regular pattern(s), (e.g., long house, houses in rows or streets, houses built around a square or plaza)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_036,Settlements,"Communities of 100 or more [Note, identical to CARNEIRO4_031]",Permanent communities (settled or nomadic) of about 100 or more members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_037,Settlements,"Communities of 500 or more [Note, identical to CARNEIRO4_032]",Permanent communities (settled or nomadic) of about 500 or more members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_038,Settlements,"Towns of 2,000 or more [Note, identical to CARNEIRO4_033]","Towns: nucleated settlements of 2,000 or more residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_039,Settlements,"Two or more towns [Note, identical to CARNEIRO4_034]",Two or more towns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_040,Settlements,"City of 10,000 or more [Note, similar to CARNEIRO4_035]","City: administrative and commercial population center of at least 10,000 residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_041,Settlements,"Two or more cities [Note, identical to CARNEIRO4_036]",Two or more cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_042,Settlements,"City of 100,000 or more [Note, identical to CARNEIRO4_037]","City of 100,000 or more residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_043,Settlements,"Planned cities [Note, identical to CARNEIRO4_039]",Planned cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_044,Settlements,"Paved streets [Note, identical to CARNEIRO4_040]",Paved streets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_045,Settlements,Paved sidewalks,Paved sidewalks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_046,Settlements,"Paved plaza [Note, similar to CARNEIRO4_041]",Paved plaza (exclude patios surrounded by house walls or exclusive to individual houses),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_047,Settlements,"Civic or ceremonial structures [Note, identical to CARNEIRO4_046]","Civic or ceremonial structures (including men’s house) not ordinarily used as dwellings by family units (excluding structures built for specific occasions and later abandoned, dismantled, or destroyed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_048,Settlements,Permanent cemeteries,"Permanent cemeteries, where the graves of the interred are marked",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_049,Settlements,"Stone monuments commemorating persons or events [Note, similar to CARNEIRO4_048]","Stone monuments or stelae (excluding cairns of unworked stones) to mark or commemorate important persons or events (e.g., megaliths, obelisks, triumphal arches, pyramids)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_050,Settlements,"Grandstands, theathers, amphitheaters, or stadiums [Note, similar to CARNEIRO4_047]","Grandstands, theathers, amphitheaters, or stadiums where spectators can witness contests or performances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_051,Settlements,Formal or landscape gardens,Formal or landscape gardens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_052,Settlements,Ornamental fountains,Ornamental fountains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_053,Settlements,"Aqueducts or conduits [Note, similar to CARNEIRO4_049]",Aqueducts or conduits of stone or brick to supply water for domestic use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_054,Settlements,Running water piped into buildings,Running water piped into dwellings or public buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_055,Settlements,"Cisterns [Note, similar to CARNEIRO4_050]",Cisterns: rain-catching or water-holding basins artificially lined with stone or other hard or impervious material (excluding clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_056,Settlements,"Baths of stone, brick, or tile [Note, similar to CARNEIRO4_051]","Baths of stone, brick, or tile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_057,Settlements,"Drains [Note, identical to CARNEIRO4_052]","Drains: lined channels, covered or uncovered, or pipes used to carry off rain or bath water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_058,Settlements,"Sewers [Note, identical to CARNEIRO4_053]","Sewers: lined and covered channels or pipes, primarily for carrying away human waste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_059,Settlements,Apartment houses,Apartment houses: multi-storied dwellings in which rooms are customarily rented to tenants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_060,Settlements,"Permanent fortifications [Note, similar to CARNEIRO4_054]","Permanent fortifications (including palisades around settlements, blockhouses, citadels, and fortified boundaries, but excluding structures whose primary purpose is not defensive, e.g., compounds, fortifications around dwellings which are normally occupied by only one or a few families)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_061,Settlements,"Stone or brick fortification walls [Note, identical to CARNEIRO4_055]","Walls of stone, brick, adobe, or beaten earth (including earthworks) used in fortification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_062,Settlements,Frontiers fortified with stone walls,Frontiers fortified with stone walls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_063,Settlements,"Moats [Note, similar to CARNEIRO4_056]",Moats (excluding dry ditches but including diverted rivers) used to protect settlements or fortifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_064,Settlements,Taverns,"Taverns, inns, or eating houses providing food, drink, and/or lodging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_065,Settlements,Brothels,Brothels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_066,Settlements,Fire brigade,Fire brigade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_067,Settlements,"Well-maintained roads connecting settlements [Note, identical to CARNEIRO4_042]",Broad and well-maintained roads connecting settlements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_068,Settlements,"Network of paved roads connecting settlements [Note, similar to CARNEIRO4_043]",Network of paved roads connecting settlements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_069,Settlements,"Bridges or causeways [Note, similar to CARNEIRO4_044]","Bridges or causeways (excluding log spans, vine ropes, and simple pole frameworks)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_070,Settlements,"Way stations or resthouses [Note, similar to CARNEIRO4_045]","Way stations or resthouses, not necessarily staffed, which provide lodging for travelers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_071,Architecture,Rectangular ground plan for dwellings,Rectangular ground plan for dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_072,Architecture,Houses occupied for at least 10 years,"Substantial houses which are lived in for at least 10 years without being permanently abandoned, dismantled, or rebuilt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_073,Architecture,House interior divided by walls or partitions,Interior space of houses permanently divided by means of walls or partitions (include lofts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_074,Architecture,"Multi-room dwellings [Note, similar to CARNEIRO4_058]","Dwellings divided into three or more walled-off and separate rooms, with some degree of functional differentiation between them",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_075,Architecture,Multi-family dwellings,Dwellings which customarily house four or more family units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_076,Architecture,"Multi-storied structures [Note, similar to CARNEIRO4_059]",Multi-storied structures (not meant to include high storage platforms or lofts which do not form a complete story),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNEIRO6_077,Architecture,"Parts of dwellings extensively painted or carved [Note, similar to CARNEIRO4_057]","Walls, ceiling, roof, or other part of dwellings or other structures extensively painted or carved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
