ID,Name,Description,ColumnSpec,category,type,unit,source_comment,changes,comment
CARNEIRO6_037,"Communities of 500 or more [Note, identical to CARNEIRO4_032]",Permanent communities (settled or nomadic) of about 500 or more members,,Settlements,Categorical,,,,
CARNEIRO6_038,"Towns of 2,000 or more [Note, identical to CARNEIRO4_033]","Towns: nucleated settlements of 2,000 or more residents",,Settlements,Categorical,,,,
CARNEIRO6_039,"Two or more towns [Note, identical to CARNEIRO4_034]",Two or more towns,,Settlements,Categorical,,,,
CARNEIRO6_040,"City of 10,000 or more [Note, similar to CARNEIRO4_035]","City: administrative and commercial population center of at least 10,000 residents",,Settlements,Categorical,,,,
CARNEIRO6_041,"Two or more cities [Note, identical to CARNEIRO4_036]",Two or more cities,,Settlements,Categorical,,,,
CARNEIRO6_042,"City of 100,000 or more [Note, identical to CARNEIRO4_037]","City of 100,000 or more residents",,Settlements,Categorical,,,,
CARNEIRO6_043,"Planned cities [Note, identical to CARNEIRO4_039]",Planned cities,,Settlements,Categorical,,,,
CARNEIRO6_044,"Paved streets [Note, identical to CARNEIRO4_040]",Paved streets,,Settlements,Categorical,,,,
CARNEIRO6_045,Paved sidewalks,Paved sidewalks,,Settlements,Categorical,,,,
CARNEIRO6_046,"Paved plaza [Note, similar to CARNEIRO4_041]",Paved plaza (exclude patios surrounded by house walls or exclusive to individual houses),,Settlements,Categorical,,,,
CARNEIRO6_047,"Civic or ceremonial structures [Note, identical to CARNEIRO4_046]","Civic or ceremonial structures (including men’s house) not ordinarily used as dwellings by family units (excluding structures built for specific occasions and later abandoned, dismantled, or destroyed)",,Settlements,Categorical,,,,
CARNEIRO6_048,Permanent cemeteries,"Permanent cemeteries, where the graves of the interred are marked",,Settlements,Categorical,,,,
CARNEIRO6_049,"Stone monuments commemorating persons or events [Note, similar to CARNEIRO4_048]","Stone monuments or stelae (excluding cairns of unworked stones) to mark or commemorate important persons or events (e.g., megaliths, obelisks, triumphal arches, pyramids)",,Settlements,Categorical,,,,
CARNEIRO6_050,"Grandstands, theathers, amphitheaters, or stadiums [Note, similar to CARNEIRO4_047]","Grandstands, theathers, amphitheaters, or stadiums where spectators can witness contests or performances",,Settlements,Categorical,,,,
CARNEIRO6_051,Formal or landscape gardens,Formal or landscape gardens,,Settlements,Categorical,,,,
CARNEIRO6_052,Ornamental fountains,Ornamental fountains,,Settlements,Categorical,,,,
CARNEIRO6_053,"Aqueducts or conduits [Note, similar to CARNEIRO4_049]",Aqueducts or conduits of stone or brick to supply water for domestic use,,Settlements,Categorical,,,,
CARNEIRO6_054,Running water piped into buildings,Running water piped into dwellings or public buildings,,Settlements,Categorical,,,,
CARNEIRO6_055,"Cisterns [Note, similar to CARNEIRO4_050]",Cisterns: rain-catching or water-holding basins artificially lined with stone or other hard or impervious material (excluding clay),,Settlements,Categorical,,,,
CARNEIRO6_056,"Baths of stone, brick, or tile [Note, similar to CARNEIRO4_051]","Baths of stone, brick, or tile",,Settlements,Categorical,,,,
CARNEIRO6_057,"Drains [Note, identical to CARNEIRO4_052]","Drains: lined channels, covered or uncovered, or pipes used to carry off rain or bath water",,Settlements,Categorical,,,,
CARNEIRO6_058,"Sewers [Note, identical to CARNEIRO4_053]","Sewers: lined and covered channels or pipes, primarily for carrying away human waste",,Settlements,Categorical,,,,
CARNEIRO6_059,Apartment houses,Apartment houses: multi-storied dwellings in which rooms are customarily rented to tenants,,Settlements,Categorical,,,,
CARNEIRO6_060,"Permanent fortifications [Note, similar to CARNEIRO4_054]","Permanent fortifications (including palisades around settlements, blockhouses, citadels, and fortified boundaries, but excluding structures whose primary purpose is not defensive, e.g., compounds, fortifications around dwellings which are normally occupied by only one or a few families)",,Settlements,Categorical,,,,
CARNEIRO6_061,"Stone or brick fortification walls [Note, identical to CARNEIRO4_055]","Walls of stone, brick, adobe, or beaten earth (including earthworks) used in fortification",,Settlements,Categorical,,,,
CARNEIRO6_062,Frontiers fortified with stone walls,Frontiers fortified with stone walls,,Settlements,Categorical,,,,
CARNEIRO6_063,"Moats [Note, similar to CARNEIRO4_056]",Moats (excluding dry ditches but including diverted rivers) used to protect settlements or fortifications,,Settlements,Categorical,,,,
CARNEIRO6_064,Taverns,"Taverns, inns, or eating houses providing food, drink, and/or lodging",,Settlements,Categorical,,,,
CARNEIRO6_065,Brothels,Brothels,,Settlements,Categorical,,,,
CARNEIRO6_066,Fire brigade,Fire brigade,,Settlements,Categorical,,,,
CARNEIRO6_067,"Well-maintained roads connecting settlements [Note, identical to CARNEIRO4_042]",Broad and well-maintained roads connecting settlements,,Settlements,Categorical,,,,
CARNEIRO6_068,"Network of paved roads connecting settlements [Note, similar to CARNEIRO4_043]",Network of paved roads connecting settlements,,Settlements,Categorical,,,,
CARNEIRO6_069,"Bridges or causeways [Note, similar to CARNEIRO4_044]","Bridges or causeways (excluding log spans, vine ropes, and simple pole frameworks)",,Settlements,Categorical,,,,
CARNEIRO6_070,"Way stations or resthouses [Note, similar to CARNEIRO4_045]","Way stations or resthouses, not necessarily staffed, which provide lodging for travelers",,Settlements,Categorical,,,,
CARNEIRO6_071,Rectangular ground plan for dwellings,Rectangular ground plan for dwellings,,Architecture,Categorical,,,,
CARNEIRO6_072,Houses occupied for at least 10 years,"Substantial houses which are lived in for at least 10 years without being permanently abandoned, dismantled, or rebuilt",,Architecture,Categorical,,,,
CARNEIRO6_073,House interior divided by walls or partitions,Interior space of houses permanently divided by means of walls or partitions (include lofts),,Architecture,Categorical,,,,
CARNEIRO6_074,"Multi-room dwellings [Note, similar to CARNEIRO4_058]","Dwellings divided into three or more walled-off and separate rooms, with some degree of functional differentiation between them",,Architecture,Categorical,,,,
CARNEIRO6_075,Multi-family dwellings,Dwellings which customarily house four or more family units,,Architecture,Categorical,,,,
CARNEIRO6_076,"Multi-storied structures [Note, similar to CARNEIRO4_059]",Multi-storied structures (not meant to include high storage platforms or lofts which do not form a complete story),,Architecture,Categorical,,,,
CARNEIRO6_077,"Parts of dwellings extensively painted or carved [Note, similar to CARNEIRO4_057]","Walls, ceiling, roof, or other part of dwellings or other structures extensively painted or carved",,Architecture,Categorical,,,,
CARNEIRO6_078,"Cut stone masonry [Note, identical to CARNEIRO4_060]",Cut stone masonry,,Architecture,Categorical,,,,
CARNEIRO6_079,"Stone or brick bases for civic or ceremonial structures [Note, identical to CARNEIRO4_061]","Cut stone or brick substructures (e. g., platforms, truncated pyramids) used as bases for civic or ceremonial structures",,Architecture,Categorical,,,,
CARNEIRO6_080,"Dwellings of stone or brick [Note, similar to CARNEIRO4_062]",Dwellings (including walls) constructed of cut stone or fired brick,,Architecture,Categorical,,,,
CARNEIRO6_081,"Civic or ceremonial buildings of stone or brick [Note, similar to CARNEIRO4_063]",Civic or ceremonial buildings constructed of cut stone or fired brick,,Architecture,Categorical,,,,
CARNEIRO6_082,"Monumental architecture of stone or brick [Note, similar to CARNEIRO4_064]","Monumental architecture of stone or brick (e.g., pyramids, palaces, temples, fortresses, amphitheaters, but excluding solid platforms)",,Architecture,Categorical,,,,
CARNEIRO6_083,"Quarrying of stone for construction [Note, identical to CARNEIRO4_065]",Quarrying of stone for construction (rather than merely dressing loose stones),,Architecture,Categorical,,,,
CARNEIRO6_084,Megalithic construction,"Megalithic construction using blocks of stone too heavy to be moved without mechanical devices such as rollers, sledges, ramps, or pulleys",,Architecture,Categorical,,,,
CARNEIRO6_085,"Stone coursing [Note, identical to CARNEIRO4_066]",Stone coursing (blocks of cut stone laid in successive horizontal layers),,Architecture,Categorical,,,,
CARNEIRO6_086,"Rubble used between walls in stone or brick construction [Note, identical to CARNEIRO4_067]",Rubble or some other fill used between walls in stone or brick construction,,Architecture,Categorical,,,,
CARNEIRO6_087,"Fired brick used in construction [Note, identical to CARNEIRO4_068]",Fired brick used in construction,,Architecture,Categorical,,,,
CARNEIRO6_088,Walls of beaten earth or adobe,Walls of beaten earth or adobe,,Architecture,Categorical,,,,
CARNEIRO6_089,"True mortar used in construction [Note, identical to CARNEIRO4_069]","True mortar (i.e., a plastic substance with a chemical bonding action) used in construction",,Architecture,Categorical,,,,
CARNEIRO6_090,"Facing of stone or brick walls or columns [Note, similar to CARNEIRO4_070]","Facing of stone or brick walls or columns with plaster, alabaster, tile, etc.",,Architecture,Categorical,,,,
CARNEIRO6_091,"Roof of tile, brick, dressed stone, planks, etc. [Note, identical to CARNEIRO4_071]","Roof of tile, brick, dressed stone, planks, etc. (i.e., not bark, mud, thatching, or similar material)",,Architecture,Categorical,,,,
CARNEIRO6_092,"House floors made of stone, brick, tile, wood etc.","House floors made of stone, brick, tile, flagstone, or wood (including palm and bamboo)",,Architecture,Categorical,,,,
CARNEIRO6_093,"Stone lintels [Note, identical to CARNEIRO4_072]",Stone lintels,,Architecture,Categorical,,,,
CARNEIRO6_094,"Arches of stone or brick [Note, similar to CARNEIRO4_073]",Arches of stone or brick (corbeled or keystone),,Architecture,Categorical,,,,
CARNEIRO6_095,"True arch [Note, identical to CARNEIRO4_074]",True (keystone) arch,,Architecture,Categorical,,,,
CARNEIRO6_096,"Stone or brick pillars or columns used structurally [Note, identical to CARNEIRO4_075]",Stone or brick pillars or columns used structurally,,Architecture,Categorical,,,,
CARNEIRO6_097,"Stone or brick stairways [Note, similar to CARNEIRO4_076]","Stone or brick stairways (of cut blocks, or carved into living rock)",,Architecture,Categorical,,,,
CARNEIRO6_098,Buttresses used to strengthen stone or brick walls,Buttresses used to strengthen stone or brick walls,,Architecture,Categorical,,,,
CARNEIRO6_099,"Ornamental carving of stone architectural features [Note, similar to CARNEIRO4_077]","Ornamental carving of stone columns, walls, lintels, or other architectural features of stone",,Architecture,Categorical,,,,
CARNEIRO6_100,"Architectural features cut into living rock [Note, identical to CARNEIRO4_078]","Architectural features (e.g., tombs, stairways) cut into living rock",,Architecture,Categorical,,,,
CARNEIRO6_101,"Fortresses built of stone or brick [Note, identical to CARNEIRO4_079]","Fortresses built of stone or brick (including walled cities and citadels, where people take refuge in time of war)",,Architecture,Categorical,,,,
CARNEIRO6_102,"Elaborations in fortified walls [Note, similar to CARNEIRO4_080]","Elaborations in fortified walls (including, e.g., towers, salients, merlons, but excluding loopholes)",,Architecture,Categorical,,,,
CARNEIRO6_103,"Professional carpenters or woodworkers [Note, similar to CARNEIRO4_083]",Professional (full-time) carpenters or woodworkers (excluding canoemakers and thatchers),,Architecture,Categorical,,,,
CARNEIRO6_104,"Professional stone masons or bricklayers [Note, similar to CARNEIRO4_082]",Professional (full-time) stone masons or bricklayers,,Architecture,Categorical,,,,
CARNEIRO6_105,"Professional architects or engineers [Note, identical to CARNEIRO4_081]",Professional (full-time) architects or engineers,,Architecture,Categorical,,,,
CARNEIRO6_106,"Landed property [Note, similar to CARNEIRO4_084]","Landed property: individual or familial ownership rights over improved land (e.g., cultivated plots, house sites) continue to be exercised, even if land ceases to be occupied or worked",,Economics,Categorical,,,,
CARNEIRO6_107,Boundary markers to indicate private property limits,Boundary markers (excluding growing crop plants but including hedges) set up in order to indicate the limits of a piece of private property,,Economics,Categorical,,,,
CARNEIRO6_108,Agricultural land commonly bought and sold,Agricultural land commonly bought and sold,,Economics,Categorical,,,,
CARNEIRO6_109,Economic speculation in commodities,"Economic speculation in land, foodstuffs, or other commodities a common practice",,Economics,Categorical,,,,
CARNEIRO6_110,"Inscription of land or other forms of property [Note, identical to CARNEIRO4_085]",Inscription of land or other forms of property (registry of deeds),,Economics,Categorical,,,,
CARNEIRO6_111,"Rental of land or dwellings [Note, identical to CARNEIRO4_102]",Rental of land or dwellings by landlords to tenants as a system of tenure,,Economics,Categorical,,,,
CARNEIRO6_112,Share-cropping,Share-cropping: a system of land tenure in which the tenant (who is not a serf) pays the landlord a specific proportion or amount of the crop as rent,,Economics,Categorical,,,,
CARNEIRO6_113,Leasing of land or dwellings,Leasing of land or dwellings: a formal agreement (not merely observance of custom) in which a tenant’s right of occupancy is guaranteed for a specified period,,Economics,Categorical,,,,
CARNEIRO6_114,"Serfs [Note, similar to CARNEIRO4_120]","Serfs: tenants and their descendants legally bound to land which they farm for the benefit of private persons or corporate groups (e.g., feudal lords, temples, monasteries)",,Economics,Categorical,,,,
CARNEIRO6_115,Private or government control over natural resources,"Private ownership (not ownership by a sib or a local group) or government control exercised over scarce or limited natural resources (e.g., clay pits, clam beds, salt, water holes, mineral deposits, grove of wild fruit trees) rather than free access to them",,Economics,Categorical,,,,
CARNEIRO6_116,Distinctive marks used to indicate property ownership,"Seals, brands, or other distinctive marks used to indicate ownership of manufactured property",,Economics,Categorical,,,,
CARNEIRO6_117,"Wealth differences among society members [Note, similar to CARNEIRO4_088]","Marked differences in wealth (e.g., real property, livestock, precious metals, slaves; but excluding wives, ceremonial bundles) among members of the society (other than the difference between the principal political leader or religious specialist and everyone else)",,Economics,Categorical,,,,
CARNEIRO6_118,Feasts or gift-giving ceremonies showcasing wealth,"Feasts or gift-giving ceremonies in which much wealth is displayed or consumed, including those for state purposes",,Economics,Categorical,,,,
CARNEIRO6_119,"Recorded inventories of property owned [Note, similar to CARNEIRO4_110]","Recorded inventories of property owned (e.g., with pebbles, knotted cords, notched sticks, clay tablets, ledgers)",,Economics,Categorical,,,,
CARNEIRO6_120,"Most individual property inherited [Note, similar to CARNEIRO4_086]","Most individual (not family) property owned and in the possession of a person at the time of his death (exclude property lent out and still outstanding) transmitted by inheritance rather than being buried, destroyed, or otherwise disposed of at the death of the owner",,Economics,Categorical,,,,
CARNEIRO6_121,"Testamentary disposition of property [Note, similar to CARNEIRO4_087]","Testamentary disposition of property, by a written will, through a formal executor, or orally in the presence of a witness (excluding incorporeal property)",,Economics,Categorical,,,,
CARNEIRO6_122,"Craft specialization [Note, similar to CARNEIRO4_090]","Craft specialization: some craft(s) which only a limited number of persons in the society practice (excluding the making of religious or ceremonial objects by shamans or priests, or chiefs)",,Economics,Categorical,,,,
CARNEIRO6_123,"Craft production for economic exchange [Note, identical to CARNEIRO4_091]",A significant amount of craft production primarily for economic exchange rather than for personal consumption,,Economics,Categorical,,,,
CARNEIRO6_124,"Full-time craft specialists [Note, identical to CARNEIRO4_092]","Full-time craft specialists (e.g., brewer, lapidary, tailor, baker, tanner)",,Economics,Categorical,,,,
CARNEIRO6_125,Service specialization,"Service specialization: some services which only a limited number of persons in the society provide (excluding religious specialists and curers, but including clans and other groups that perform specialized services)",,Economics,Categorical,,,,
CARNEIRO6_126,"Full-time service specialists [Note, similar to CARNEIRO4_093]","Full-time service specialists other than religious practitioners (e.g., tattooer, barber, accountant, lawyer, physician)",,Economics,Categorical,,,,
CARNEIRO6_127,Professional barbers or hairdressers,Professional barbers or hairdressers,,Economics,Categorical,,,,
CARNEIRO6_128,Professional porters or bearers,Professional porters or bearers,,Economics,Categorical,,,,
CARNEIRO6_129,Full-time food production specialists,"Processing or preparation of food by full-time specialists (e.g., millers, butchers, cooks, bakers) other than household servants or slaves",,Economics,Categorical,,,,
CARNEIRO6_130,Professional brewers or wine makers,Professional brewers or wine makers,,Economics,Categorical,,,,
CARNEIRO6_131,Full-time clothing or shoes makers,Clothing or shoes manufactured by full-time specialists,,Economics,Categorical,,,,
CARNEIRO6_132,"Medium of exchange used in trade [Note, similar to CARNEIRO4_099]","Medium of exchange, which is frequently used in trade for a variety of commodities",,Economics,Categorical,,,,
CARNEIRO6_133,Currency,"Currency: a medium valued primarily for its use in economic exchanges rather than as an ornamental or consumable good, and which may be exchanged freely for any goods or commodities which are traded",,Economics,Categorical,,,,
CARNEIRO6_134,Economic exchange in currency or money,A significant amount of economic exchange carried out by means of currency or money,,Economics,Categorical,,,,
CARNEIRO6_135,Metallic currency valued according to weight,Metallic currency valued according to weight (including coins),,Economics,Categorical,,,,
CARNEIRO6_136,Two or more metals used as currency,Two or more metals of different monetary value used as currency,,Economics,Categorical,,,,
CARNEIRO6_137,"Coined money [Note, identical to CARNEIRO4_100]",Coined money,,Economics,Categorical,,,,
CARNEIRO6_138,Coins of different denominations,Coins of different denominations,,Economics,Categorical,,,,
CARNEIRO6_139,Animals or foodstuffs lent out at interest,"Animals, seed crops, or foodstuffs lent out at interest",,Economics,Categorical,,,,
CARNEIRO6_140,"Money or goods lent out at interest [Note, similar to CARNEIRO4_101]",Money or goods (not including animals or foodstuffs) lent out at interest,,Economics,Categorical,,,,
CARNEIRO6_141,Professional moneylenders,Professional moneylenders,,Economics,Categorical,,,,
CARNEIRO6_142,Banks,"Banks, which pay interest on deposits and make loans",,Economics,Categorical,,,,
CARNEIRO6_143,Pledging of movable property as debt security,Pledging of items of movable property as security on a debt,,Economics,Categorical,,,,
CARNEIRO6_144,Pledging of oneself or family member as debt security,Pledging of oneself or members of one’s family as security on a debt,,Economics,Categorical,,,,
CARNEIRO6_145,Mortgage,Mortgage: a legal instrument offering land or houses as security to guarantee the repayment of a loan,,Economics,Categorical,,,,
CARNEIRO6_146,Insurance,"Insurance: protection against calamities (e.g., fire, theft, loss of merchandise at sea) offered by an underwriter for a premium",,Economics,Categorical,,,,
CARNEIRO6_147,"Trade between communities [Note, identical to CARNEIRO4_112]",Trade between communities,,Economics,Categorical,,,,
CARNEIRO6_148,Economically important trade between communities or regions,Economically important trade carried out between communities or regions (including that conducted through itinerant merchants),,Economics,Categorical,,,,
CARNEIRO6_149,Economically important trade in finished goods between communities,Economically important trade in which finished goods (excluding food) are traded to other communities or societies (including exchanges conducted through itinerant merchants),,Economics,Categorical,,,,
CARNEIRO6_150,Full-time specialists in trade,Full-time specialist(s) in trade,,Economics,Categorical,,,,
CARNEIRO6_151,"Trading outposts [Note, identical to CARNEIRO4_115]",Trading outposts maintained outside the territory of the society,,Economics,Categorical,,,,
CARNEIRO6_152,"Markets [Note, identical to CARNEIRO4_105]","Markets, in which a variety of goods are traded",,Economics,Categorical,,,,
CARNEIRO6_153,"Daily and permanent markets [Note, identical to CARNEIRO4_106]",Daily and permanent markets,,Economics,Categorical,,,,
CARNEIRO6_154,Specialized urban markets,"Specialized market(s) within a town or city (e.g., fish market, cattle market, textile market, flower market)",,Economics,Categorical,,,,
CARNEIRO6_155,"Itinerant merchants or specialized traders [Note, identical to CARNEIRO4_103]","Itinerant merchants or specialized traders who are members of the society itself (rather than foreigners), and who remain such even if they trade outside the society",,Economics,Categorical,,,,
CARNEIRO6_156,"Sedentary merchants [Note, similar to CARNEIRO4_104]",Sedentary merchants who operate fixed commercial establishments outside the market area,,Economics,Categorical,,,,
CARNEIRO6_157,Wholesale merchants,Wholesale merchants,,Economics,Categorical,,,,
CARNEIRO6_158,Professional merchants undertake large-scale trading expeditions,Professional merchants undertake large-scale trading expeditions,,Economics,Categorical,,,,
CARNEIRO6_159,Merchants form a significant segment of the society,Merchants form a significant segment of the society,,Economics,Categorical,,,,
CARNEIRO6_160,Merchant class with particular rights or restrictions,"Merchants constitute a class, with prescribed advantages (e.g., exemption from military service or corvée labor) and/or disabilities (e.g., exclusion from holding office, subjection to discriminatory taxation)",,Economics,Categorical,,,,
CARNEIRO6_161,"Legally enforceable economic contracts [Note, similar to CARNEIRO4_108]",Contracts: economic agreements legally enforceable by a higher authority,,Economics,Categorical,,,,
CARNEIRO6_162,Economic transactions formally witnessed or notarized,Economic transactions formally witnessed or notarized,,Economics,Categorical,,,,
CARNEIRO6_163,Commercial agreements negotiated between states,Commercial agreements negotiated between states,,Economics,Categorical,,,,
CARNEIRO6_164,"Commerical transactions authenticated with seals, signatures, or marks","Seals, signatures, or individual marks used to authenticate commercial transactions",,Economics,Categorical,,,,
CARNEIRO6_165,Warehouses for privately-owned merchandise,Commercial warehouses used to store privately-owned merchandise,,Economics,Categorical,,,,
CARNEIRO6_166,Written documents used for large-scale goods shipments,Bills of lading or other written documents used in large-scale shipments of goods,,Economics,Categorical,,,,
CARNEIRO6_167,"Long-term commercial records kept [Note, identical to CARNEIRO4_109]",Long-term commercial records kept,,Economics,Categorical,,,,
CARNEIRO6_168,Companies,Companies: business enterprises including two or more persons who are organized to carry out commercial or industrial operations,,Economics,Categorical,,,,
CARNEIRO6_169,Corporations,"Corporations: companies, chartered by the state, the members of which have limited liability",,Economics,Categorical,,,,
CARNEIRO6_170,Labor mobilized by compensation,"Labor mobilized by the offer of compensation (rather than by a kinship obligation), e.g., food and drink, payment in kind or money, salary",,Economics,Categorical,,,,
CARNEIRO6_171,Hire of individuals for unskilled manual labor,Individuals commonly hired to perform unskilled manual labor,,Economics,Categorical,,,,
CARNEIRO6_172,"Wage labor [Note, similar to CARNEIRO4_098]","Wage labor, for which payment is made at definite rates and intervals",,Economics,Categorical,,,,
CARNEIRO6_173,Enforced mobilization of labor for public projects,"Enforced mobilization of labor for community, tribal, or state projects (excluding military conscription)",,Economics,Categorical,,,,
CARNEIRO6_174,"Corvée [Note, identical to CARNEIRO4_097]",Corvée (draft labor exacted by a supra-community authority or agency),,Economics,Categorical,,,,
CARNEIRO6_175,"Institutional employment of artisans and laborers [Note, identical to CARNEIRO4_096]","Artisans and laborers attached to or employed on a regular basis (rather than under the corvée) by political or religious institutions (tribe or state, temple or church)",,Economics,Categorical,,,,
CARNEIRO6_176,Labor overseers,"Overseers, who superintend the labor of slaves or other workers (other than majordomos on private estates)",,Economics,Categorical,,,,
CARNEIRO6_177,Factories,"Factories: enterprises in which workers, under unified supervision, produce goods by performing differentiated tasks (including temple workshops)",,Economics,Categorical,,,,
CARNEIRO6_178,Manufacturer trademarks,"Trademarks placed on articles to identify the maker or manufacturer (e.g., potter’s mark, swordsmith’s signature, mint marks)",,Economics,Categorical,,,,
CARNEIRO6_179,Class of freemen artisans selling their products or services,Class of artisans who are freemen and who sell their products or services,,Economics,Categorical,,,,
CARNEIRO6_180,Neighborhoods of specialized artisans within towns or cities,Neighborhoods of specialized artisans within towns or cities,,Economics,Categorical,,,,
CARNEIRO6_181,"Certain industries concentrated in particular villages, towns, or cities","Certain industries concentrated in particular villages, towns, or cities",,Economics,Categorical,,,,
